date,Precio_Petroleo,ISE,Tasa de política monetaria(Dato mes),Inflación total(Dato fin de mes),Tasa Representativa del Mercado (TRM)(Promedio mensual),IPI,df_PIB
2014-01-01,107.9269565217391,95.7323907190894,"3,25","2,13","1.960,41",93.1624745479517,193660.598487801
2014-02-01,108.838,97.1270675403614,"3,25","2,32","2.040,51",92.88177438805074,NA
2014-03-01,107.8680952380952,96.0210663127453,"3,25","2,51","2.022,19",97.06793883436711,NA
2014-04-01,108.0036363636364,96.3903609895981,"3,25","2,72","1.939,27",93.45630648781678,193990.191781888
2014-05-01,109.8322727272727,96.2059309297034,"3,50","2,93","1.915,46",97.67844331634305,NA
2014-06-01,112.2409523809524,95.7785572575504,"3,75","2,79","1.888,10",94.07752455681049,NA
2014-07-01,107.4626086956522,97.0313314624235,"4,00","2,89","1.858,40",98.86487533886644,195956.56124801
2014-08-01,102.4019047619048,96.4767306418562,"4,25","3,02","1.899,07",96.3099628848953,NA
2014-09-01,97.85272727272726,98.2436631769215,"4,50","2,86","1.971,34",97.9805471594305,NA
2014-10-01,87.58478260869565,98.6935962054548,"4,50","3,29","2.047,03",100.28522019170327,197981.648482299
2014-11-01,79.2295,97.5808763287309,"4,50","3,65","2.127,25",97.04153380283698,NA
2014-12-01,62.90391304347826,98.8897366268698,"4,50","3,66","2.344,23",100.52890095753195,NA
2015-01-01,48.93318181818182,98.8200176878138,"4,50","3,82","2.397,69",92.69718330095078,199260.649378057
2015-02-01,58.254,99.3504584000265,"4,50","4,36","2.420,38",92.7762487658318,NA
2015-03-01,56.524545454545454,98.8587828542629,"4,50","4,56","2.586,58",98.70350399858818,NA
2015-04-01,59.82636363636364,99.8668584217398,"4,50","4,64","2.495,36",94.38781852054844,200645.73056595
2015-05-01,65.19380952380952,99.6971281165952,"4,50","4,41","2.439,09",98.5082211186703,NA
2015-06-01,62.62,99.5041623665507,"4,50","4,42","2.554,94",96.82494070462857,NA
2015-07-01,56.8295652173913,101.315862146459,"4,50","4,46","2.731,90",100.12499224532206,202671.663812747
2015-08-01,47.53380952380952,99.9268955192905,"4,50","4,74","3.023,29",98.60869992357172,NA
2015-09-01,48.03045454545455,101.043738806247,"4,50","5,35","3.073,12",100.89668658460778,NA
2015-10-01,48.90636363636364,101.059071188522,"4,75","5,89","2.937,85",102.90308300955147,202113.956243246
2015-11-01,45.0952380952381,99.9198525256345,"5,25","6,39","2.996,67",101.13098042517159,NA
2015-12-01,38.52521739130435,100.637171966858,"5,50","6,77","3.244,51",102.84422967717494,NA
2016-01-01,32.0452380952381,100.892855456848,"5,75","7,45","3.284,03",95.63602660060485,203832.329055096
2016-02-01,33.76238095238095,102.585367364223,"6,00","7,59","3.357,50",96.53235498306812,NA
2016-03-01,39.79217391304348,101.70897987474,"6,25","7,98","3.145,26",96.64455522160573,NA
2016-04-01,43.33047619047619,101.433019573348,"6,50","7,93","2.998,71",96.36907327513963,205120.189722064
2016-05-01,47.735,101.791183158027,"7,00","8,20","2.988,38",97.91843875169305,NA
2016-06-01,49.87727272727273,101.82042369741,"7,25","8,60","2.991,68",97.99797605308123,NA
2016-07-01,46.59857142857143,99.6898924248182,"7,50","8,97","2.963,99",94.81490793424513,205623.06133942
2016-08-01,47.05217391304348,103.246180770517,"7,75","8,10","2.963,82",102.86081014295723,NA
2016-09-01,47.37681818181818,103.655349457584,"7,75","7,27","2.921,15",101.6232845748941,NA
2016-10-01,51.41380952380952,102.498707225838,"7,75","6,48","2.932,61",100.73456838572498,206913.419883419
2016-11-01,46.94227272727273,103.113284800041,"7,75","5,96","3.106,40",99.83429797552914,NA
2016-12-01,55.02272727272727,103.831793181422,"7,75","5,75","3.009,53",101.796185849351,NA
2017-01-01,55.71090909090909,102.465284674557,"7,50","5,47","2.944,65",93.66081963281113,206757.211671255
2017-02-01,56.096,103.384060699066,"7,50","5,18","2.881,68",92.15812403765091,NA
2017-03-01,52.65521739130435,102.566170411836,"7,25","4,69","2.943,49",97.86313180166547,NA
2017-04-01,53.978,102.612863830245,"7,00","4,66","2.873,55",91.80301487652659,207539.180029861
2017-05-01,51.37434782608696,103.196280891386,"6,50","4,37","2.924,00",97.88811830591243,NA
2017-06-01,47.65272727272727,104.495026787633,"6,25","3,99","2.958,36",97.01989982478656,NA
2017-07-01,49.25333333333333,103.104787752114,"5,75","3,40","3.038,76",98.95484281213919,208682.867769486
2017-08-01,51.92782608695652,104.178270570739,"5,50","3,87","2.972,62",101.36197915632836,NA
2017-09-01,55.55761904761905,104.220279616491,"5,25","3,97","2.918,49",100.06425305364233,NA
2017-10-01,57.53636363636364,103.604236099866,"5,25","4,05","2.955,06",101.56895266872203,209676.740529398
2017-11-01,62.83636363636364,104.011096638352,"5,00","4,12","3.013,17",100.59317712066066,NA
2017-12-01,64.06428571428572,105.414948130161,"4,75","4,09","2.991,42",102.4982520549125,NA
2018-01-01,68.889130434782615,104.106643893876,"4,75","3,68","2.867,68",93.92507814859769,210404.04778811499
2018-02-01,65.6965,105.026702191854,"4,50","3,37","2.860,00",92.06786535102559,NA
